2353
0.25
0.0,0.0,0.0
47.25,50.25,29.25
10.7411616162,18.8446969697,2.7083333333,0.7174454248
41.9686025943,6.9307193396,24.772995283,1.8494918485
20.0090513291,40.8640009166,19.0482355637,1.5965605323
25.3324688797,34.6571576763,5.2301175657,1.3919487265
25.6304495913,30.8933923706,24.4226839237,1.1103651614
24.4984718826,40.8352689487,2.6126222494,1.8274194319
39.3789556962,20.2964794304,23.1886867089,2.112691875
33.0922481896,3.9011685319,2.2115701119,1.7827744317
23.1404958678,36.4214876033,24.0547520661,0.9664563878
9.4002051583,33.6235345838,16.5959847597,1.4708221085
37.4939582356,13.1671163773,20.8984631628,1.9957445661
25.6198979592,44.1147959184,28.8852040816,0.5675130234
12.8555194805,40.2646103896,10.3100649351,0.6597925093
40.681010929,36.3695355191,7.5143442623,1.2698953133
22.9440021231,2.2226645435,26.5082271762,1.2066577538
11.1232394366,39.0176056338,28.5809859155,0.809108171
41.1181077694,43.4545739348,0.6043233083,1.1417423335
38.84765625,28.044921875,11.056640625,0.7815926418
29.5115546218,4.1081932773,0.2647058824,0.9611019489
45.4970930233,2.8846899225,2.9951550388,0.7836227617
43.2257949791,18.054832636,3.4237866109,2.8142096124
43.2012411348,38.7703900709,6.5789007092,0.80720438
26.3307026477,38.1891547862,8.5328411405,1.2235009276
22.3583519345,25.0563616071,9.0951450893,2.1563548355
31.3689393939,38.825,20.5946969697,0.8506256093
8.8773943662,32.8513380282,22.0740140845,1.8777737258
37.375,38.1055194805,4.2353896104,0.6597925093
8.536961367,39.0625928678,14.8981550272,1.9601497216
32.9561611374,39.6255924171,19.4934834123,1.4656309285
26.2183897002,12.2145465027,6.7846848578,1.6930491696
19.1682612313,20.5043677205,28.43781198,1.3087859664
9.2298362176,2.4439894932,8.2533220025,2.293929025
38.3897058824,35.1397058824,5.0147058824,0.5024236928
23.8570211961,42.6539553369,10.1034254353,1.7016807191
19.0409836066,18.5727459016,0.3606557377,0.9691115011
8.1951754386,10.6776315789,8.8026315789,0.7519900415
32.532446361,20.1151135886,21.1007046698,2.0697610005
21.5119863014,44.8270547945,11.8190639269,0.934813934
44.8393962848,6.9431114551,15.258126935,1.0640890636
39.3679017604,5.7554656445,28.4437109597,1.8728238192
12.32125,29.45125,0.81125,0.9069579196
10.1156767956,29.4611533149,27.1976864641,1.7545536787
14.0944402133,33.102341965,6.3288271135,2.1396465911
23.6230765121,36.5314436845,9.10314704,2.5939493237
16.1346153846,12.0769230769,14.7211538462,0.4594464726
3.6666666667,32.1416666667,11.9333333333,0.4818933026
24.5876108999,3.6728453739,20.2162547529,1.4330768265
3.6064814815,31.7453703704,10.0046296296,0.4652628682
21.2229532164,43.7136939571,6.445662768,1.5642023205
28.162037037,39.9861111111,6.6342592593,0.4652628682
28.0249356499,21.6540647791,15.1001179751,2.056322512
22.4805555556,8.5138888889,29.0416666667,0.5516301269
19.0055443548,44.0302419355,8.7862903226,1.2276400015
41.3927419355,12.5649193548,11.6060483871,1.322435103
6.4375,24.8375,18.25,0.4209725752
16.7290925267,40.0102313167,21.8349644128,1.0158102222
28.6032051282,38.8429487179,12.2275641026,0.8993360642
21.8700592885,7.5410079051,22.0410079051,0.980883237
21.9413082437,12.1160394265,25.5170250896,1.6086634846
43.8514150943,3.4693396226,6.6108490566,0.5825534279
13.6880008905,4.0388468388,17.464269813,1.6120198712
35.9573863636,45.4232954545,10.15625,0.6898235705
16.9737087518,10.7607245337,10.6264347202,2.3513181689
31.6217948718,10.2147435897,27.2211538462,0.6626364777
6.4778735632,33.7135057471,13.9066091954,1.1750965681
40.6828350065,24.0859340899,3.3667066783,2.044492407
18.3224025974,39.0964285714,17.5866883117,1.4214798702
30.6489932886,40.4498322148,12.5330536913,1.7713561726
3.8258196721,2.1782786885,27.8524590164,0.7691843082
21.6580850131,30.9477432077,14.9264899211,1.620587011
41.7814039409,31.9378078818,13.1921182266,1.1483805195
12.2538022814,40.549904943,8.5247148289,1.2519079201
35.2329175705,41.876626898,17.4628524946,1.1980569073
3.7808823529,9.4382352941,19.9823529412,0.8591324297
13.3505188679,42.0024056604,2.8924292453,3.4067931133
44.0553278689,31.2465846995,10.018442623,0.8804962327
7.3217408585,35.0924085851,1.7080683625,1.3288032676
29.8684814099,6.3025712216,4.5371197489,1.9768353802
31.3653017241,39.7198275862,8.8890086207,0.9529566255
17.6830035971,20.992206235,19.0232314149,2.3173189844
35.168722467,35.7730176211,24.3007709251,2.0382264102
43.2279411765,27.6544117647,26.8602941176,0.3987739493
27.5571030641,43.916086351,22.489902507,1.3887325673
44.1805555556,24.1628787879,11.8257575758,0.9039245929
36.3287572254,13.6644990366,13.561416185,1.246329644
11.4545047733,19.9864260143,24.3524761337,1.8421930676
20.0960002075,16.52134779,14.4591460884,2.6195666194
12.8828947368,13.8513157895,28.7697368421,0.7076497224
9.1845238095,9.0408163265,14.7789115646,1.0312396015
29.9367897727,3.3565340909,21.7911931818,1.0950266614
9.5802013423,38.5598993289,15.9270134228,1.7713561726
24.0558510638,39.5930851064,2.6303191489,0.5596842576
16.2785714286,31.7887755102,19.4994897959,1.2226697446
40.5306414662,30.2626002291,15.6941580756,1.8674911485
9.1557017544,20.6337719298,18.4978070175,0.5968548915
15.8595679012,19.7361111111,20.7978395062,0.6710251717
9.2445652174,3.5706521739,14.6141304348,0.4410485693
35.6022727273,29.1022727273,11.5416666667,0.8506256093
42.6531690141,11.5393192488,27.330399061,0.9261976471
33.90234375,9.4375,11.41796875,0.6203504909
31.9603658537,11.2012195122,8.6524390244,0.6737753056
41.8944389764,16.6075295276,15.5142716535,1.5591038413
26.6683673469,39.3826530612,26.2653061224,0.7150216043
14.3679971989,35.8462885154,8.7363445378,1.1001870895
7.645,35.3,25.775,0.5713476872
14.4397262095,34.6850744285,20.5778176502,1.9144325545
9.5215517241,37.7155172414,25.2543103448,0.6003250561
15.1430084746,33.2891949153,13.0752118644,0.9584022101
43.1685008306,34.1273878738,19.3803986711,2.0787198654
31.703125,18.1875,28.2916666667,0.5636258259
10.8538329519,17.0546338673,8.4545194508,1.1768947294
26.6148491879,36.879350348,4.6714037123,1.475976901
40.9669117647,40.1875,14.1507352941,0.6330141865
27.6687836222,24.8642408846,3.1698296473,1.8410932506
27.5416666667,37.2777777778,13.4305555556,0.4064445526
10.892287234,22.9248670213,3.2456781915,1.4103159549
17.30028463,24.5173149905,22.9817362429,2.6988619927
19.7231505516,14.6391142116,17.4145846853,1.7913399786
22.0829646018,30.0097345133,24.3117256637,1.615362339
34.1946166855,20.7652198422,6.5552423901,1.877421026
